komentar,komentar_bersih
"Gw sama2 ga yakin keduanya Apalagi sty, terlalu banyak kesempatan yang diberikan, tapi ya gitu² aja",sty sempat ya gitu
"Jgnkan sty bijan, luis mila, indrasafri juga bisa menang klw main d kandang dengan squad yg sama 😂😂",jgnkan sty bijan luis mila indrasafri menang klw main kandang squad
DAN GUE BERANI TARUHAN SI BINTANG LAUT DKK KALO MEGANG DRI NOL GK BAKAL BISA SAMPE SEKARANG,berani taruh si bintang laut dkk kalo megang dri nol sampe
"Km byk bicara tp ga tau semua mslhnya... 😂 di sini mslh nya itu si kliver nya sendiri yg byk gaya😂😂😂😂 intinya balikin lah STY yg udh jls lg bangun dri pondasi.. Bkn ky skrg yg udh jadi pondasi tp mlh di acak""....",km byk bicara mslhnya mslh si kliver byk gaya inti balikin sty udh jls lg bangun dri pondasi bkn ky skrg udh pondasi mlh acak
​ @Sumarto-y8o setuju bang,tuju bang
Tohir udah di siap minyak Arab itu,tohir udah minyak arab
Ni lah ulah towel justin dan Akmal mereka lah yg menghancurkan sepak bolah indonesia,ni ulah towel justin akmal hancur sepak bolah indonesia
Gatot (gagal total),gatot gagal total
Smoga kita masih diberi kesempatan untuk melihat indonesia masuk piala dunia...tah kapan,smoga sempat indonesia masuk piala dunia
Hidup patrick...pssi udah kontrak dia 3 tahun ke depan,hidup patrickpssi udah kontrak
​ @HermanIpoet mafia judi kq di percaya,mafia judi kq percaya
"Intinya dh gagal,, pecat PK",inti dh gagal pecat pk
Membangun Kualitas team bukan seenak Mbacot..butuh Proses.. Intinya perbaiki kualitas kompetisi lokal..kemudian di kompetsi Region Asean..dan Asia.. Recrut pemain Timnas berdasar kualitas bukan titipan ..,bangun kualitas team enak mbacotbutuh proses inti baik kualitas kompetisi lokalkemudian kompetsi region aseandan asia recrut pemain timnas dasar kualitas titip
6x laga 6poin gg bangettt,laga poin gg
​ @sepertibiasalah tenang baru saya dipegang.kita lihat pk megang abis kontrak.bagusan sty apa pk.😂.,tenang dipegangkita lihat pk megang abis kontrakbagusan sty pk
KINGG RIDHO NIH BOZZ SENGKOELL DONG BOZZZZZ🧡🧡🧡🧡🧡🧡🧡🧡🔥🔥,kingg ridho bozz sengkoell bozzzzz
"Ya sekali setiap kali konten anda coment saya konsisten indo tidak punya mental yg kuat,sekil bagus semua tapi sekali lagi cari pelatih yg betul terbukti treak rekot nya",ya kali konten coment konsisten indo mental kuatsekil bagus cari pelatih bukti treak rekot
"Ketika lawan Arab seharusnya full Tim untuk mengejar kemenangan, karena timnas pernah mengalahkan Arab jika menang menjadi modal besar... itu",lawan arab full tim kejar menang timnas kalah arab menang modal
"Udah si kata gw mah gausah ngjudge Patrick atau siapapun dia kan kerja bukan dia yg mau tapi kan dia di tawarin dari pihak pssi buat jadi pelatih ,jgn sampe jadi memecah 2 belah negara bisa mengakibatkan fatal yg mau di salahin mah orang pemimpin Indonesia nya aja maaf gw akui emg Indonesia negara yg kontroversial sih maaf bgt",udah si mah gausah ngjudge patrick kerja tawarin pssi pelatih jgn sampe pecah belah negara akibat fatal salahin mah orang pimpin indonesia maaf aku emg indonesia negara kontroversial maaf
"Suruh Tohir mundur,,mending pak Iwan bule,,prasetan dg erik",suruh tohir mundurmending iwan buleprasetan dg erik
"Mau pelatihnya siapapun kalau pengurusnya nga ngerti sama aj,cuma kepentingan politik.",latih urus nga ngerti ajcuma penting politik
Jelas bang kalo sty tidak pernah di ragukan dalam kepelatihan nya,bang kalo sty ragu latih
"Alhamdulillah sesuai doa dan harapan saya, indo Nungsep seeep jangan timbul lagi",alhamdulillah sesuai doa harap indo nungsep seeep timbul
