komentar,komentar_bersih
Kesalahan fatal ada Pada ERIK TOHIR,salah fatal erik tohir
Secepatnya pk dipulangkan bersama klubnya mending lokal ajaaaaa biar ngerasa bahagia bangsa ini,cepat pk pulang klub mending lokal ajaaaaa biar ngerasa bahagia bangsa
​ @AnisJamil-p9t tragedi aff ingat kan 2010,tragedi aff
Dorong investigasi laga pertama..yang seharusnya peluang emas jadi petaka.. penetapan starting XI sarat dg konspirasi busuk..,dorong investigasi laga pertamayang peluang emas petaka tetap starting xi sarat dg konspirasi busuk
Pecat pelatih.,pecat pelatih
Aneh kho ga ada yg bahas akibat jadi goal ya itu karna pemain lokal yg katanya paling hebat rizky ridho,aneh kho bahas akibat goal ya pemain lokal hebat rizky ridho
Kontrak pep Guardiola saja.. 😅😅😅😅😅,kontrak pep guardiola
Walau Jose Mourinho yg latih pun. Metal kita belum siap untuk pildun..,jose mourinho latih metal pildun
😂😂😂 ketawa gw . Jaman STY 4-1 dan 3-0 di kandang Indonesia lawan Irak. Permainan sekarang lebih bagus daripada STY untuk lawan Irak sekarang. S Kesalahan fatal di pertandingan pertama starting XI yg absurd sebagai mana STY saat lawan China.,ketawa jaman sty kandang indonesia lawan irak main bagus sty lawan irak salah fatal tanding starting xi absurd sty lawan china
sty baru di pecat sama club nya kalah terus kapan kalian sadar wahai pencinta drama korea,sty pecat club kalah sadar cinta drama korea
sty tidak bisa menang lawan bahrain cina yang bikin berat,sty menang lawan bahrain cina bikin berat
​ @ranggaa741 Kluivert udah banyak pemain baru lengkap STY masih seadanya 😂,kluivert udah pemain lengkap sty ada
"liat STY gmna di ulsan sekarang, jaman sty kalah berapa lawan irak?",liat sty gmna ulsan jaman sty kalah lawan irak
Emang pelatih sebelum nya bisa jamin lolos pildun? Aku sih yakin kalo sty yng ngelatih tambah babak belur. Patrick sty sama jeleknya. Dan fakta terbaru sty klo pelatih bagus dua bulan pegang club Korea di pecat bro😂😂😂,emang pelatih jamin lolos pildun kalo sty yng ngelatih babak bur patrick sty jelek fakta baru sty pelatih bagus pegang club korea pecat
​ @senyumtv11 emang gak jamin semua pelatih jg tidak menjamin tp setidak nya waktu pergantian pelatih yg kurang tepat tp dibandingkan era sty dg pemain yg yg jauh lebih dr saat ini masih bagusan tak tik sty dr pd PK asal orang yg nonton tau bola bukan pembenci Kya anda buak mata lebar2,emang jamin pelatih jg jamin tidak ganti pelatih banding era sty dg pemain bagus tik sty pk orang nonton bola benci kya buak mata lebar
​ @senyumtv11 SE enggk nya ada harapan,enggk harap
"apa katamu ? si botak di banding""kan sama sty ??? gk salah curacao di ambang masuk piala dunia sejak di tinggal petrik 😂​ @senyumtv11",kata si botak banding sty salah curacao ambang masuk piala dunia tinggal trik
bukan pendukung patrik tapi sty juga tidak bagus,dukung patrik sty bagus
"Bersama kalian kami berani bermimpi, terimakasih timnasku.",berani mimpi terimakasih timnasku
Kasian😂😂😂,kasi
"Seandainya kmren lawan Arab Saudi PK tidak blunder, prmainan pagi ini lbih enak walau kalah TPI permainan sprti ini tidak bgitu mngecewakn, yaaah sudahlah pertandingan telah usai, trimakasih buat para pemain yg sudah berjuang, kalian hebat, TPI tdak dngn PK,",anda kmren lawan arab saudi pk blunder prmainan pagi lbih enak kalah main sprti bgitu mngecewakn yaaah tanding trimakasih pemain juang hebat tdak dngn pk
"Terima kasih kepada seluruh punggawa garuda baik staf, pelatih, terutama para pemain yg telah berjuang sepenuh hati dari round 1 s.d round 4 ini. Kalian luar biasa.",terima kasih punggawa garuda staf pelatih pemain juang sepenuh hati round sd round
"Kalah menang itu biasa bro,,yang penting saling menghargain itu luar biasa,,, love Indonesia dan irak,,,❤❤❤",kalah menang broyang menghargain love indonesia irak
Alhmdulillah.. Akhir nya Iraq menang.. Sy warga konoha yg ga tinggal di iraq.. Sangat bangga..,alhmdulillah iraq menang sy warga konoha tinggal iraq bangga
Terima kasih timnas sfh sejauh ini❤,terima kasih timnas sfh
Semoga sepakbola Indonesia terus semakin kuat dan besar,moga sepakbola indonesia kuat
"Padahal kekuatan tim hampir sama bisa di imbangi,kayak nya kalah pengelaman",kuat tim imbangikayak kalah kelam
"Selamat buat yg dulu ngomong STY Out, kalian telah membuat timnas gagal.",selamat ngomong sty out timnas gagal
"Jgn ragukan nasionalis pemain naturalisasi kita, I proud of you",jgn ragu nasionalis pemain naturalisasi proud of you
Kamu sudah bagus Timnasq sampai saat ini juara yang sejati itu bagaimana dia menjalani proses yang lebih baik lagi..semangat Timnasq kamulah juaranya♥️👍🙏,bagus timnasq juara sejati jalan proses lagisemangat timnasq juara
"Kalian luar biasa,, terimakasih atas semangat nya",terimakasih semangat
"Kalian sudah berjuang,, Terimakasih pahlawan..",juang terimakasih pahlawan
Terimakasih para pemain kalian luar biasa perjuangannya.. kekalahan ini di sebabkan mafia PSSI ganti pelatih pas timnas LG subur.. karna rata rata pejabat Indonesia gila duit walaupun nama negara harus di gadaikan.,terimakasih pemain juang kalah sebab mafia pssi ganti pelatih timnas lg subur jabat indonesia gila duit nama negara gadai
Kamu pahlawan bangsa indonesia,pahlawan bangsa indonesia
Aku jelma'an ikut piala dunia Fifa World Cup TAHUN DEPAN INSYA ALLAH,jelma piala dunia fifa world cup insya allah
Salut Garuda..even u lose,salut garudaeven lose
Alhamdulillah.... terima kasih towel dan erik❤❤❤❤❤❤. Terus hancurkan prestasi kita❤❤❤❤❤❤❤,alhamdulillah terima kasih towel erik hancur prestasi
"Bravo GARUDA ku,,kami bangga dgn kalian yg sdh berjuang demi bangsa dan memberikan yg terbaik",bravo garuda kam bangga sdh juang bangsa baik
Oleh dan jonatan harusnya main dri awal...karena kita harus berburu gol cepat...,jonatan main dri awalkarena buru gol cepat
"Yg kalah menjelaskan yg menang merayakan.... Blundernya kluivert pas lawan Arab, bikin line up yg kocak.",kalah menang raya blundernya kluivert lawan arab bikin line up kocak
Tapi RR blunder juga,rr blunder
"Pagi ini hasilnya apa... Menang kah... Nyetak peluang gol aj kgk,, apalagi gol",pagi hasil menang kah nyetak peluang gol aj kgk gol
😂😂 bgooooo Timnas Belanda C kagak bisa masukin bola secara normal. Pake nyalahin pemain lokal😂😂😂,bgooooo timnas belanda kagak masukin bola normal pake nyalahin pemain lokal
​ @AdiDoank-h8o lokal mulu yg d salahin😂😂😂...,lokal mulu salahin
Main enak dilihat? Lucu wkwk,main enak lucu
Ga dihujat tuh,hujat tuh
Seandainya.. seandainya...,anda anda
Malaysia senang kali KLO Indonesia g lolos tepuk tangan,malaysia senang kali indonesia lolos tepuk tangan
"Sok,sekarang mau hujat siapa lagi",soksekarang hujat
Hrusnya parkir bus klau udh unggul,hrusnya parkir bus klau udh unggul
