komentar,komentar_bersih
et terlalu berambisi dan ambil keputusan yg salah dengan mengganti sty di tengah naik daun. kecewa siapa gak kecewa. harapan piala dunia sisa 2 pertandingan tapi nyatanya kalah mau ngomong apa pun guna lagi. sekarang pecat kluivert dan ganti pelatih lain?,et ambisi ambil putus salah ganti sty daun kecewa kecewa harap piala dunia sisa tanding kalah ngomong pecat kluivert ganti pelatih
Tidak juga dia duanya gagal,dua gagal
jika masih sty saya yakin arab dan irak bisa di atasi.. karena sty sudah tau cara nya,sty arab irak atas sty
Ia lawan Brunei Darussalam 😂😂,lawan brunei darussalam
"bagus ? sama timnas korea di lemparin telor , kemarin sty baru di pecat dari club karena kalah terus patrik gak bagus sty juga",bagus timnas korea lemparin telor kemarin sty pecat club kalah patrik bagus sty
"​ @ranggaa741 kau tengok blok waktu awal sty melatih timnas, indo selevel Laos, jgn kn masuk piala asia atau dunia, menang lawan Vietnam aja ga berani mimpi.. kau fikir enak bangun tim..",kau tengok blok sty latih timnas indo level laos jgn kn masuk piala asia dunia menang lawan vietnam berani mimpi kau fikir enak bangun tim
"@ranggaa741 Kalo sty gak bagus gak bakal timnas sampe ke round 3, pasti tumbang duluan sama seperti pelatih2 sebelumnya. Dari banyaknya mantan2 pelatih yg melatih timnas siapa yg bisa dan pernah mengantar timnas sampe ke round 3?",kalo sty bagus timnas sampe round tumbang duluan pelatih banyak mantan pelatih latih timnas antar timnas sampe round
"Bene sekali , Iwan bule membangun Erik tohir menghancurkan yg katanya faham sepak bola.",bene iwan bule bangun erik tohir hancur faham sepak bola
pak iwan bule emang suka sepak bola kalau pak ET suka bisnisnya aja,iwan bule emang suka sepak bola et suka bisnis
tanpa ET kayaknya banyak gak mau dinaturalisasi 😂,et kayak naturalisasi
"Biasa bg, denial syndrom",bg denial syndrom
​ @siriku4041 kata siapa lol.,lol
Pecat erik tohir,pecat erik tohir
Di inter juga jadi era kegelapan,inter era gelap
Perubahan apa sih yg di maksud,ubah maksud
"Iwan bule mah sama aja Kya ketum yg dulu2 mafia jg ,liga mana gk ada var, wasit2nya masih pd ngaco skrng jamannya ET var udh ada, wasit mulai mendingan ,waktu tragedi Kanjuruhan oktober tahun 2022 itu jamannya si iwan bule, kan gara2 dia tragedi itu terjadi walaupun cuma jdi saksi tapi dia yg dianggap bertanggungjawab atas kejadian itu terjadi😂😂, mau minta balikin mafia kocak kocak , di kira lihat kerja ketum cuma lihat dri timnas doank kali, mangkanya jng jdi fans karbitan, jdilah fans sepak bola sesungguhnya",iwan bule mah kya tum mafia jg liga var wasit ngaco skrng jaman et var udh wasit mending tragedi kanjuruhan oktober jaman si iwan bule gara tragedi saksi anggap bertanggungjawab jadi balikin mafia kocak kocak lihat kerja tum lihat dri timnas doank kali mangkanya jng fans karbitan jdilah fans sepak bola sungguh
Tapi saya lihat sendiri bahwa Iwan Bule terlalu ingin spotlight,lihat iwan bule spotlight
Sok tau. Jaman iwan Bule natulisasinya kelas medioker. Baru jaman ET mereka mau gabung. Emang kalian kira pemain mau krn faktor sty. Mereka mau gabung ktn faktor ET,sok jaman iwan bule natulisasinya kelas medioker jaman et gabung emang pemain faktor sty gabung ktn faktor et
"​ @kendiemas0225 kalau mau Krn faktor et krnp Emil,mees, pelupesy,miliano baru join kmrin..ole pun bnyak pertimbangan...kalau bukan Krn perjalanan timnas udah melangkah sejauh ini ... Kalau Krn et harusnya dr awal pas diloby dan timnas baru mulai kualifikasi harusnya mereka dah join... Contoh hubner,ivar,baggot,Rafa..mereka mau join lgs tnpa mikir posisi timnas mereka mau krn niat ingin membela timnas",faktor et krnp emilmees pelupesymiliano join kmrinole bnyak pertimbangankalau jalan timnas udah lang et diloby timnas kualifikasi dah join contoh hubnerivarbaggotrafamereka join lgs tnpa mikir posisi timnas niat bela timnas
@kendiemas0225 loe kira pemain skrg rekomendasi PSSI ??,loe pemain skrg rekomendasi pssi
​ @kendiemas0225 Terus Giliran mau di hancurin sama Patrick Kluivert apakah begitu 😅,gilir hancurin patrick kluivert
"Tapi ingat, Erik Tohir juga berjasa lobi2 FiFA biar PSSI tidak di banned. KLO bukan ET yg kenal sama FIFA sudah di banned PSSI",erik tohir jasa lobi fifa biar pssi banned et kenal fifa banned pssi
​ @AbdulRosid-zo9vi itu pasti orang pembisnis pasti luas permainannya,zo vi orang bisnis luas main
Belum pusing kalo belum nonton timnas jaman now,pusing kalo nonton timnas jaman now
Sejak 2004 gw udah kenyang dikecewain timnas 😅,udah kenyang dikecewain timnas
Ga akan. Selama komplotan itu masih di pssi,komplot pssi
Mungkin pas dajjal tiba D dunia baru dah bisa lolos pildun,dajjal dunia dah lolos pildun
Memangnya timnas Indonesia sudah bagus mainnya seperti timnas jepang.boro boro juara Asia saja belum pernah .kejar lah juara Asia dulu.baru berbicara piala dunia.,memang timnas indonesia bagus main timnas jepangboro boro juara asia kejar juara asia dulubaru bicara piala dunia
​ @AkunOppo-r6l mang klo mo kpildun mesti juara asia dulu😅,mang mo kpildun mesti juara asia
Sabar orang sabar pasti kesel,sabar orang sabar kesel
Udah lah bos...yg pasti terlalu.. berharap...pasti kecewa...gak enak tidur..gak enak makan😂😂😂,udah bosyg berharappasti kecewagak enak tidurgak enak makan
"Tetap Semangats dan Berjuang Lebih keras lagi buat Semua Pemain TIM NASIONAL INDONESIA buat ke Depannya dan Semakin Sukses lagi, Terima Kasih atas Perjuangan dan Kerja Keras buat Semuanya sampai di Round 4 ini, Keberuntungan belum ada di pihak INDONESIA, GBU All🤲🤲🤲❤️❤️❤️🇲🇨🇲🇨🇲🇨💪💪💪",semangats juang keras pemain tim nasional indonesia depan sukses terima kasih juang kerja keras round untung indonesia gbu all
"Dengan squad mewah yang sekarang,,,yang cocok buat latih timnas itu, kaya nya harus luis milla aspas,, karna cuma dia yang bisa membawa timnas bermain bagus dan tangguh,, meski pada saat itu dengan pemain alakadar nya,,semoga,, persefsi gua yah..",squad mewah sekarangyang cocok latih timnas kaya luis milla aspas bawa timnas main bagus tangguh pemain alakadar nyasemoga persefsi yah
Sulit 2030 mau ngandelin siapa coba,sulit ngandelin coba
Setuju bro 👍,tuju
"Apapun hasilnya sy tetep mendukung timnas,,untuk kedepan mudah""an timnas belajar dr kesalahan... I❤.....GARUDA",apa hasil sy tetep dukung timnasuntuk depan mudah timnas ajar salah igaruda
Mimpi di hancurkan erik tohir.. Cuan cuan cuan,mimpi hancur erik tohir cuan cuan cuan
Datangkan lagi sty,datang sty
​ @KarsoOtong sty pasti kembali dan itu udah diramalkan sejak beberapa tahun yg lalu,sty udah ramal
Berrti ada yang gak bres di pssi kenapa kalu gak niat lolos gnti peltih bolh ganti peltih asal lebih dari yng dulu.kita tetep dukung timnas tpi yang di sayngkan kenapa malh jeblok habis naik tangga 5 turunya 10,berrti bres pssi kalu niat lolos gnti peltih bolh ganti peltih yng dulukita tetep dukung timnas sayngkan malh jeblok habis tangga turunya
"​ @kholidulasyhar3434 gk beres udah pasti bro Erick ada main sama MAFIA, bener kata lu bro, kalau emang Erick ingin melihat sepakbola Indonesia maju kenapa pengganti STY jauh di bawah STY, kalau emang mau maju harusnya di atas pengalaman dan track record di atas STY",beres udah erick main mafia bener emang erick sepakbola indonesia maju ganti sty sty emang maju alam track record sty
"Betul Skali itu,jgn rasa dukung kita itu klo liat timnas lg menang saja,tapi d saat kalah justru dukungan kita harus kuat dan tinggi",skali itujgn dukung liat timnas lg menang sajatapi kalah dukung kuat
Patriut aut jauh2,patriut aut
dari era riedl 2016 sampe muak kalo ada yg bilang percaya proses,era riedl sampe muak kalo bilang percaya proses
Baru 3 tahun saya nonton ngikutin timnas saat aff 2010 sudah berpuluh2 ke kecewaan sudah banyak ganti ketum PSSI tapi cuman di Erick Tohir kita bisa melangkah sejauh ini,nonton ngikutin timnas aff puluh kecewa ganti tum pssi cuman erick tohir lang
"​​ @ucihashisui2878 Bro lupa kalau yang membangun sepak bola Indonesia dari nol pak iwan dan sty, sepakbola Indonesia saat itu sangat hancur, baru lepas dari sanksi FIFA dan berada didasae rank FIFA. Liat era Erick, pelatih bagus dipecat diganti pelatih yang jelas belum layak melatih timnas, STY bangun pondasi, dari yang sebelumnya ngak ada harapan tinggi lolos PD sampai kita berhasil lolos round 3 berada diposisi 3 berada dibawah Australia hanya selisih 1 poin, saat itu timnas berada dipuncaknya dengan mengalahkan arab tapi tiba-tiba dipecat tanpa alasan yang masuk logika, diganti PK dan sekarang lihat hasilnya, GAGAL TOTAL",lupa bangun sepak bola indonesia nol iwan sty sepakbola indonesia hancur lepas sanksi fifa didasae rank fifa liat era erick pelatih bagus pecat ganti pelatih layak latih timnas sty bangun pondasi ngak harap lolos hasil lolos round posisi bawah australia selisih poin timnas puncak kalah arab tibatiba pecat alas masuk logika ganti pk lihat hasil gagal total
"Mimpi hancur akibat Ganti nahkoda di tengah Pertandingan yg belum usai, dan kalah Saat lawan Australia dan Japan di laga away",mimpi hancur akibat ganti nahkoda tanding kalah lawan australia japan laga away
Mimpi yang gagal terwujud bukan tertunda😢,mimpi gagal wujud tunda
"Ya salah satu geng Belanda yang punya andil akan dinamika ruang ganti 😂 kasihan STY ngga sadar di-frame. Saya memang sudah khawatir dari pas Piala Asia U-23 itu, ET akan pecat STY, tapi waktu itu di luar dugaan STY malah berhasil membawa tim ke 8 besar, sampai momentum Round 3 Pildun di China, apakah ada sabotase atau tidak ya, WAllahu alam. Tapi, ditahan hingga Pak Jokowi selesai periodenya, setelah bulan Oktober itu, saya sudah feeling, bakalan dipecat. Pemecatan STY itu sudah direncanakan sejak awal, karena filosofi 'Eropa' dari mindset Ketua PSSI yang mungkin juga, yang saya lihat, kalah pamor dan terkenal dari STY. Setingkat presiden saja ngga pernah namanya digemakan di GBK 😊",ya salah geng belanda andil dinamika ruang ganti kasihan sty ngga sadar diframe khawatir piala asia et pecat sty duga sty hasil bawa tim momentum round pildun china sabotase ya wallahu alam tahan jokowi selesai periode oktober feeling pecat pecat sty rencana filosofi eropa mindset ketua pssi lihat kalah pamor kenal sty tingkat presiden ngga nama gema gbk
Ya saya ada rasa curiga juga mas👌👍👍,ya curiga mas
