komentar,komentar_bersih
"Syt baru di pecat dari club nya tuh,gara gara kalah terus clubnya,siapa tau bisa di rkrut lagi ke timnas kita😂😂😂",syt pecat club tuhgara gara kalah clubnyasiapa rkrut timnas
"Tidak ada pelatih Indonesia yang mampu selevel dia menggunakan squad miliknya, bahkan yang dikatakan ""Kepelatihan Terbaik"" tak mampu menyerang gawang jepang yang dipenuhi pemain pelapis dan terbantai dari Australia yang dipenuhi pemain pelapis pula, berbeda jauh dari STY yang mampu melawan mereka dengan bagus saat mereka dipenuhi pemain inti.... Ingat jika STY memberikan pertandingan terbaik saat itu dengan pemain seadanya tanpa lini depan yang kuat🥱",pelatih indonesia level squad milik latih baik serang gawang jepang penuh pemain lap bantai australia penuh pemain lap beda sty lawan bagus penuh pemain inti sty tanding baik pemain ada lini kuat
Yah masyarakat bawah Rindu yang dimana semua pemain petarung melawan musuhhh,yah masyarakat rindu mana pemain tarung lawan musuhhh
rindu bapak luh,rindu luh
Ogah amat..masih babyak pelatih yg lebih baik....duniamu sempit amat cuma STY taunya,ogah amatmasih babyak pelatih baikduniamu sempit sty tau
komen template sepanjang tahun,komen template
Tinggal piala asia bang😢 kita tunggu siapa pelatih Indonesia selanjutnya 😢,tinggal piala asia bang tunggu pelatih indonesia
Komen paling generik 🥱🥱🥱,komen generik
Dukung apanya ..?,dukung apa
Iya emang bro.maunya instan..GK mau proses.... padahal Kluivert..GK ada prestasinya sama sekali..jdi pelatih...,iya emang bromaunya instangk proses kluivertgk prestasi sekalijdi pelatih
"Itu bukan kebodohan, emang timnas kita dipolitisasi keknya.. Pas lawan saudi banyak keanehan line up yg diluar nurul yg buat bertanya tanya😅",bodoh emang timnas politisasi kek lawan saudi aneh line up luar nurul
Emang isunya bener ya bintang laut datang lebih awal malah menemui jajaran orang penting di arab saudi...bukan nuduh tp tukang judi kalo ditawari duit minyak mana mau nolak...,emang isu bener ya bintang laut temu jajar orang arab saudibukan nuduh tukang judi kalo tawar duit minyak nolak
Kalau Luis Milaa memang bagus ..sty dan kluivert jelek..lawan irak itu timnas main bagus cuma lagi apes..,luis milaa bagus sty kluivert jeleklawan irak timnas main bagus apes
