komentar,komentar_bersih
"Betul setuju Sejak STY di pecat kita SDH marah Krn mengganti STY di tengah jalan, pdhal pas bagus2.y STY",tuju sty pecat sdh marah ganti sty jalan pdhal bagus sty
mantap. nanggung kalau 1-0 5+0 harusnya,mantap nanggung
Saat.y ganti pelatih Krn pak Erik Tohir dan kluevar gagal total,saaty ganti pelatih erik tohir kluevar gagal total
Udah main di piala Aepep saja.... saya sudah komen ratusan kali sejak era STY berahir di situ pula era kebangkitan timnas selesai,udah main piala aepep komen ratus kali era sty berahir situ era bangkit timnas selesai
Towel sangat gembira Timnas kalah sbb dialah yg membuang STY dari Timnas,towel gembira timnas kalah sbb buang sty timnas
"Horeeee towel Akmal Justin Arya Sinulingga menang dia ketawa gembira meliat timnas gugur pildun ,",horeeee towel akmal justin arya sinulingga menang ketawa gembira liat timnas gugur pildun
"Mudah sekali anda menuduh,,,,memang parah pikiran anda,hahahhaa kalo kita sudah selevel jepang dan kita tidak masuk pildun baru kita salahkan federasi,,,ini kita baru dibentuk pssi baru berbenah liga2 mulai membaik,, anda langsung nuduh,,, dukung saja bro kalah menang dukung..jgn kalo menang eofuria luar biasa kalo kalah hujat sana sini kayak pemain kita speck dewa saja yg tidak pernah salah",mudah menuduhmemang parah pikir andahahahhaa kalo level jepang masuk pildun salah federasiini bentuk pssi benah liga baik langsung nuduh dukung kalah menang dukungjgn kalo menang eofuria kalo kalah hujat pemain speck dewa salah
Masih ada kesempatan untuk thn depan.justru ini jawaban pk ERIKTOHIR kepada pembenci STY.semoga mereka sadar diri para pengamat CLOMETAN... INI YG DI GAUNGKAN MAIN FOOD BOLLLLL...yg ada hasilnya DOBOLLL😅😅😅. terimakasih buat TIMNAS INDONESIA KAMI YAKIN XAN PASTI BISA KEPILDUN DENGAN PELATIH YG BERINTEGRITAS 💪💪🇮🇩🇮🇩,sempat thn depanjustru pk eriktohir benci stysemoga sadar amat clometan gaung main food bolllllyg hasil dobolll terimakasih timnas indonesia xan kepildun pelatih integritas
​ @MasSobirin-cc1ld kok th depan...4 THN BERIKUTNYA 😂😂😂,cc ld th thn
"Towell, Erik , bikin timnas gagal. . Saatnya ganti ketum pssi, ganti pelatih. .",towell erik bikin timnas gagal ganti tum pssi ganti pelatih
Jngn bilang gtu....kita semua psti ingin lolos pildun hanya blm wktunya saja. Kita lihat sama2 semua pemain kerja keras berjuang temsuk pssi dan pelatih!,jngn bilang gtukita psti lolos pildun blm wktunya lihat pemain kerja keras juang temsuk pssi pelatih
😢najis puluhan tahun liat bola ..kya gini gx ada kemajuan,najis puluh liat bola kya gin gx maju
Udah ter endus,udah ter endus
Gak ada erik thohir lu gk bakan lihat timnas di round 4,erik thohir bak lihat timnas round
​ @bennyprastyo938 ya betul memang targetnya round 4 dan bukan ke WC😂😂😂😂😂😂,ya target round wc
"gausa pake pemain lokal, fakta awal kesalahn blunder di pemain lokal si rr, lawan saudi si yakob.",gausa pake pemain lokal fakta kesalahn blunder pemain lokal si rr lawan saudi si yakob
"ET udah berjasa bawa indo sampai sini, logika aja lu emang ketum sebelum et bawa Indonesia sampe mana? ET udah tepat sebagai ketum, ini baru permulaan, kalian ngga inget kah? target pildun itu awalnya kan 2030 bukan 2026",et udah jasa bawa indo logika emang tum et bawa indonesia sampe et udah tum mula ngga inget kah target pildun
Gimana menurut towel setelah sty di ganti?,gimana towel sty ganti
Sesuai keinginan towel ni manteup..,sesuai towel ni manteup
"Pergantian pelatih di tengah jalan memang kesalahan Erik thohir....tapi menurut gw Erik thohir adalah ketua PSSI terbaik yg pernah ada...Timnas indonesia bisa melangkah sejauh ini karna Erik thohir yg berhasil mendatangkan banyak pemain naturalisasi berkualitas...... Erik thohir juga semangat berusaha memperbaiki liga sepakbola Indonesia ...menata liga Indonesia , membentuk liga 4 akar rumput dll.......... Belum ada yg bisa gantiin Thohir........... Kalau Thohir di ganti paling pengganti nya kayak nurdin halid😂",ganti pelatih jalan salah erik thohirtapi erik thohir ketua pssi baik adatimnas indonesia lang erik thohir hasil pemain naturalisasi kualitas erik thohir semangat usaha baik liga sepakbola indonesia tata liga indonesia bentuk liga akar rumput dll gantiin thohir thohir ganti ganti nurdin halid
Kalah menang alhamdulillah yg penting menerima gaji besar dan semakin kaya raya.kalau menang itu bonus,kalah menang alhamdulillah terima gaji kaya rayakalau menang bonus
