komentar,komentar_bersih
Gitu aja terus sampe cipung lulus kuliah 😂,gitu sampe cipung lulus kuliah
Tunggu kucing sampai tumbuh tanduk 😂😂,tunggu kucing tumbuh tanduk
"Ya semoga lu bisa bener sabar liat progressnya bukan drama dari psshit, karena kasihan pemainnya.",ya moga bener sabar liat progressnya drama psshit kasihan main
Kesempatan round 10😂😂,sempat round
"Mau ngapain bro, ingat ini bola bukan politik",ngapain bola politik
"Jgn kau bawakan olahraga di kancah politik,dari dulu Indonesia hanya level kancah Asean, lu tau tidak Irak pernah ngalahkan Jepang di Final piala asia Waktu Indonesia tuan Rumah di GBK",jgn kau bawa olahraga kancah politikdari indonesia level kancah asean irak ngalahkan jepang final piala asia indonesia tuan rumah gbk
Tindakan apa? 😊... Kalah mah kalah... Belum waktunya timnas masuk pildun😊😊,tindak kalah mah kalah timnas masuk pildun
PATRICK WAJIB DIPECAT,patrick wajib pecat
Emang blm pantas lolos pildun mental blm ada main msih kek tarkam gitu kalau pun lolos pildun paling di obok2 di fase grub sama tim2 negara eropa dan amerika latin,emang blm lolos pildun mental blm main msih tarkam gitu lolos pildun obok fase grub tim negara eropa amerika latin
"Gak berkaca ke arab Saudi,,ganti pelatih dengan nama besar tapi di permalukan oleh Indonesia,mereka garcep memecat manchini lalu memanggil kembali pelatih sebelum Mancini..",kaca arab saudiganti pelatih nama malu indonesiamereka garcep pecat manchini panggil pelatih mancini
​ @musisigagalterkenal2308 beda lol..arab saudi pecat pelatih saat progres buruk..eric tohir pecat STY saat inronesia berhasil mengalahkan arab 2-0,beda lolarab saudi pecat pelatih progres burukeric tohir pecat sty inronesia hasil kalah arab
Pemain ngga salah. Tapi pelatih nya yg tdk punya otak,pemain ngga salah pelatih otak
Sty lbh bagus sdh membawa sepak bola kita jd macan asean..,sty lbh bagus sdh bawa sepak bola macan asean
​ @mamansuparman661 macan Asean apa 0 trophy. Fakta nya sekarang 2 bulan ngelatih club Korea di pecat 😂😂😂,macan asean trophy fakta ngelatih club korea pecat
"Kalo STY pelatih, mungkin kita menang lawan Arab",kalo sty pelatih menang lawan arab
klo STy kalah 5- 1 dek,sty kalah dek
Siapa bilang STY bagus....parkir bus doang yg ada dibamtai kali..😂😂,bilang sty bagusparkir bus doang dibamtai kali
"​ @marifullahaja107 lu nonton waktu timnas vs Arab pas dilatih sty?? Jangan di goa aja, keluar lu",nonton timnas vs arab latih sty goa
​ @marifullahaja107 betul di bantai sehingga berhasil menggasak saudi 2 : 0,bantai hasil gasak saudi
ya udah lu jadi pelatih aja,ya udah pelatih
Ga ngaruh walaupun ada marceng,ngaruh marceng
Sok tau lo...,sok
Celek,celek
Dunia belum berakhir,dunia
Kalah ya kalah ajah kocak main msih kek tarkam mau berharap menang cuma bs nyalahi wasit,kalah ya kalah ajah kocak main msih tarkam harap menang bs nyalahi wasit
​ @ApriYadi-zd2sv KLO komentar pinter Dkit knp Kocakk Lihat wasit nyah tadi mlm yg di untungkan Irak,zd sv komentar pinter dkit kocakk lihat wasit nyah mlm untung irak
​ @ApriYadi-zd2sv KLO g tau tentang sepakbola bola Mnding diem ajh Kocakk,zd sv sepakbola bola mnding diem ajh kocakk
Di suap wasitnya itu Bang,suap wasit bang
Kemarin wasit yang memimpin Bagus tegas timnas tetap kalah jg kenapa ya,kemarin wasit pimpin bagus timnas kalah jg ya
​ @nenengGeulis-cv8xz Mainnya di tanah arab Coba main di tempat netral dijepang atau korea Beda cerita lah,cv xz main tanah arab coba main netral dijepang korea beda cerita
"Kalau tim pelatih iya harus dipecat karena gagal, kalau ET ya nggalah karena program ET lah timnas bisa terbang sejauh ini. Pencapaian yang hampir mustahil dicapai oleh tim² Asia Tenggara lainnya.",tim pelatih iya pecat gagal et ya nggalah program et timnas terbang capai mustahil capai tim asia tenggara
Usut toh uang rakyat....ET Pecat!,usut uang rakyatet pecat
"Kalo gak ada erik, gak mungkin banyak naturalisasi bagus kayak skarang",kalo erik naturalisasi bagus skarang
Kluivert yang harus out,kluivert out
Erik bukan bidang olahraga,erik bidang olahraga
jgn lupa towel out.tolong towel dinaturalisasi ke malay atau vitnam,jgn lupa towel outtolong towel naturalisasi malay vitnam
"Jangan sedih palawan bangsa kalian putra terbaik negri ini karnakalianlah timnas merasakan ajang seperti ini , masih ada piala asia ayo semangat ,",sedih palawan bangsa putra baik negri karnakalianlah timnas rasa ajang piala asia ayo semangat
Matur suwun pak eric,matur suwun eric
"Tetap semangat,kalian semua sudah sangat luar biasa",semangatkalian
"Tetap semangat, kita akan tetap mendukung",semangat dukung
Jangan nangis ini sudah takdir allah,nang takdir allah
terima kasih buat para pemain timnas❤❤❤ttp smngt.,terima kasih pemain timnasttp smngt
"Yah memang pahit, tapi yg namanya pertandingan ada menang ada kalah, ada berhasil ada gagal, jadi tegakan kapalmu garuda, terima kasih atas perjuangan kalian",yah pahit nama tanding menang kalah hasil gagal tega kapal garuda terima kasih juang
Tetap semangat dan bangga dgn pemain udh bagus s pertahankan LG buat 5 THN kedepan,semangat bangga pemain udh bagus tahan lg thn depan
Terimakasih Untuk Perjuangan nya 🇮🇩,terimakasih juang
"Gak usah nangis bro bangsa indo pantang nangis sudah biasa ditusuk dari belakang, berjuanglah kembali",nang bangsa indo pantang nang tusuk juang
Kalian sdh luar biasa...,sdh
Kita sudah berjuang ayooo tetap semangat GARUDA❤❤,juang ayooo semangat garuda
Ini yang d inginkan Erik Tohir dan towel🎉🎉,erik tohir towel
"Timnas udh kena mental gara"" kalah pertandingan sebelumnya...😂",timnas udh kena mental gara kalah tanding
