komentar,komentar_bersih
​ @IbrahimZen0 setuju tapi klo saya lebih pilih dari italia,tuju pilih italia
Kalau saya pilih jerman mengandalkan GEGENPRESING speed power dan tekhnik cocok untuk formasi 343 gaya agresif timnas dan 352 penguasaan tengah dan serangan ganda timnas indonesia,pilih jerman andal gegenpresing speed power tekhnik cocok formasi gaya agresif timnas kuasa serang ganda timnas indonesia
​ @febrianiarafahf5386 boleh jg tp saya berharap allegri mau melatih timnas itu pun klo PK diganti,jg harap allegri latih timnas pk ganti
"Kami rakyat jecil juga ikut komentar ,ibarat kita punya ladang atau yg samgat subur tapi penggarapanya ecek2,hasilnya tetep tdk maksimal🙏🙏🙏",rakyat jecil komentar ladang samgat subur penggarapanya ecek hasil tetep maksimal
"Inilah permainan mafia,kalian tau siapa yg cair? Ya kalian tau sendiri indonesia ini ladang judi",main mafiakalian cair ya indonesia ladang judi
Hujat jngan pemain tetapi FEDERASI kita dan pengurus nya yg kita hujat ... Mereka2 ini sumber kegagalan kita,hujat jngan pemain federasi urus hujat sumber gagal
16:55 Menpora harus ultimatum ketum PSSI💯,menpora ultimatum tum pssi
Sty lebih bagus tidak ada kesalahan yang dilakukan oleh sty terimakasih Garuda telah berjuang,sty bagus salah sty terimakasih garuda juang
"Trimakasih buat pa ETO , ARIA S, DAN JAJARAN PSSI LAINYA, telah mengubur mimpi rakyat indonesia untuk menyaksikan timnas main d PIALA DUNIA,",trimakasih pa eto aria jajar pssi lai kubur mimpi rakyat indonesia saksi timnas main piala dunia
Baru kali ini liat bung binder jengkel marah2,kali liat binder jengkel marah
Tolong di bantu Pak Erick. Demi lambang garuda di dada,tolong bantu erick lambang garuda dada
"Indonesia memang lebih coco main pragmatis, sedikit peluang tapi pertahanan kokoh dari pada main menyerang tapi kebobolan",indonesia coco main pragmatis peluang tahan kokoh main serang bobol
"Rejeki timnas senior Indonesia, Marselino yg bawah,tetapi coach PK membuang rejeki itu.",rejeki timnas senior indonesia marselino bawahtetapi coach pk buang rejeki
"Gw bkn fans STY tapi jujur gue suka gaya permainan dia dengan bertahan dan counter atack nya,karna mnurut gw klau timnas lawan tim yg lebih bagus atau di atas timnas level nya,ya lbih cocok main bertahan dan qounter atack.",bkn fans sty jujur suka gaya main tahan counter atack nyakarna mnurut klau timnas lawan tim bagus timnas level nyaya lbih cocok main tahan qounter atack
Sudah jgn hujat pemain... Yg salah tuh staf kepelatihan dan federasi kita. Justru mereka itu tuh yg harus di hujat.,jgn hujat pemain salah tuh staf latih federasi tuh hujat
jangan tahan emosi anda bung🤯,tahan emosi
STY memberikan harapan kita tampil di piala dunia dan bintang laut + federasi menghancurkan itu semua . Evaluasi besar besaran bintang laut + federasi nya langsung .,sty harap tampil piala dunia bintang laut federasi hancur evaluasi besar bintang laut federasi langsung
Tenang tenang.... november besok kita masih bisa lihat timnas u17 di piala dunia yang lolos langsung lewat kualifikasi... semoga permainan mereka ada pemain yang promosi ke u23,tenang tenang november besok lihat timnas piala dunia lolos langsung kualifikasi moga main pemain promosi
"Supporter seperti tidak berdaya, padahal katanya animo ny paling besar Mau sampai kapan sepakbola akan menjadi keuntungan sepihak Sampai kapan suporter akan jadi donatur yg tak bisa mengatur",supporter daya animo ny sepakbola untung suporter donatur atur
1 syarat utama buat Timnas..... Semua lini kudu JUJUR😊❤,syarat utama timnas lini kudu jujur
Akhirnya saya tau kenapa dulu sty mencadangkan eliano,sty cadang eliano
"Kembalinya sty beri dia 5 tahun lagi pasti Indonesia banjir gelar yakinlah,contoh japan",kembali sty indonesia banjir gelar yakinlahcontoh japan
Asian cup 2027 menanti🎉🎉🎉,asi cup
BETUL SEKALI JEPANG SAJA BELAJAR DARI 0 DAN STY BELAJAR DARI MINUS 0,jepang ajar sty ajar minus
Muaaakkk sudah denger bola lndonesia takadagunanyadi ahaslagi nasi sudahbassi.memuakkan,muaaakkk denger bola lndonesia takadagunanyadi ahaslagi nasi sudahbassimemuakkan
Bung Binder emosinya nembus layar,binder emosi nembus layar
Rakyat Indonesia sudah di kecewakan oleh petinggi & pelatih Timnas...,rakyat indonesia kecewa petinggi pelatih timnas
