komentar,komentar_bersih
"terima kasih para pemain mulai dari round 1 sampai round 4,,,dari pemain lokal sampai pemain diaspora yg sdh berjuang habis2an membawa Indonesia sejauh ini,,,,terima kasih juga buat coach STY yg sdh membangun pondasi dengan pemain2 muda masa depan thanks coach STY. skrng kita focus ke piala asia,,,dengan syarat ""Patrik Out""",terima kasih pemain round round pemain lokal pemain diaspora sdh juang habis an bawa indonesia initerima kasih coach sty sdh bangun pondasi pemain muda thanks coach sty skrng focus piala asiadengan syarat patrik out
Bung Binder memang komentator bola terbaik ❤,binder komentator bola baik
Indonesia bersedih bung binder. 😢,indonesia sedih binder
"Ke dpn,, dgn kwalitas kedalaman skuad Timnas yg ada saat ini,, Mungkin dgn Pelatih Lokal yg disiplin & mempunyai jiwa Nasionalisme tinggi,, itu akn jauh Lebih baik drpda hrs kembali di Latih oleh pelatih Asing yg notabe nya hanyalah Pekerja profesional bola yg mgkin tdk akn pernah memahami arti dr rasa Cinta & Nasionalisme itu sendiri..",dpn kwalitas dalam skuad timnas pelatih lokal disiplin jiwa nasionalisme akn drpda hrs latih pelatih asing notabe kerja profesional bola mgkin akn paham arti cinta nasionalisme
"Alhamdulillah Timnas lolos round 3 karena STY. Alhamdulillah Timnas mengukirkan sejarah bersama STY menang lawan raksasa asia Arab Saudi. Alhamdulillah Timnas yang dilatih STY lolos piala asia 2027. #terimakasihSTY kami rakyat Indonesia akan selalu menerima anda kembali. Bukan tidak mungkin apabila dilanjutkan oleh STY, kita akan melihat permainan timnas seperti timnas u23 melawan yordania u23. Menurut gua generasi emas timnas bukan yang saat ini. Tapi Timnas U23 era STY. Mental sudah teruji, jatuh bangun, adu penalty, di curangi, main di kandang orang. hasil memuaskan.",alhamdulillah timnas lolos round sty alhamdulillah timnas ukir sejarah sty menang lawan raksasa asia arab saudi alhamdulillah timnas latih sty lolos piala asia terimakasihsty rakyat indonesia terima lanjut sty main timnas timnas lawan yordania generasi emas timnas timnas era sty mental uji jatuh bangun adu penalty curang main kandang orang hasil muas
hormat bung💯,hormat
"Kita setuju , buat aph pertahan kn petrik , PSSI hrus cepat pecat PK",tuju aph tahan kn trik pssi hrus cepat pecat pk
100% betul-betul apa yang di katakan ABANG BINDER 👌👍👍,betulbetul abang binder
"Masih terngiang nunggu part perpart timnas main ,sungguh antusias selama 3 tahun lamanya .selama di pegang STY , Sejak PK masuk sy sudah tidak antusias lagi. Terimakasih STY dan seluruh pemain dari round 1 sampai 4 dan untuk pemain diaspora maupun liga lokal ,saya sangat bangga kalian mewakili negara tercinta ini.",ngiang nunggu part perpart timnas main sungguh antusias pegang sty pk masuk sy antusias terimakasih sty pemain round pemain diaspora liga lokal bangga wakil negara cinta
Sangat setuju banget bung,tuju
"PK wajib out Erick Thohir wajib out juga Ini semua mutlak kesalahan PSSI,yang selalu berpihak ke towel",pk wajib out erick thohir wajib out mutlak salah pssiyang pihak towel
kami butuh kabar pengunduran diri petrik secepatnya 🇮🇩💪💪💪💪💪,butuh kabar undur trik cepat
Terimakasih Coach STY & PK sudah membuat sejarah Timnas Indonesia tembus sampai Round 4,terimakasih coach sty pk sejarah timnas indonesia tembus round
"Masih terasa sakitnya, sulit sekali move on dari patah hati ini...",sakit sulit move on patah hati
"Bagi sy seluruh elemen yg terlibat dalam timnas (federasi, pelatih, pemain dll) sy ucapkan banyak terima kasih atas perjuangan dan dedikasinya selama ini yg telah menghibur kami sehingga kami mulai percaya terhadap sepakbola nasional.",sy elemen libat timnas federasi pelatih pemain dll sy ucap terima kasih juang dedikasi hibur percaya sepakbola nasional
Semakin membuktikan visi nya STY yang tau bahwa kemampuan Timnas Indonesia supaya memberikan hasil ya main bertahan,bukti visi sty mampu timnas indonesia hasil ya main tahan
Cari pelatih yang orangnya bukan cuma numpang makan tapi yang profesional dan berkualitas,cari pelatih orang numpang makan profesional kualitas
