komentar,komentar_bersih
Helaan nafas loe bang udah menandakan kita banget,hela nafas loe bang udah tanda
"Ingat banget dulu bang ferry abis begadang nonton indo vs korea selatan di piala asia u23 asuhan STY. Saat itu bang ferry langsung bikin video, di momen itu keliatan bgt aura kepuasan, kebanggaan, ketegangan dan optimistik dari bang ferry akan timnas. Gak nyangka momen itu kembali lagi beberapa waktu kemudian, namun video yg bang ferry buat sehabis begadang nonton timnas muncul dengan aura dan emosi yg berbeda. Menyedihkan memang.",bang ferry abis begadang nonton indo vs korea selatan piala asia asuh sty bang ferry langsung bikin video momen liat aura puas bangga tegang optimistik bang ferry timnas nyangka momen video bang ferry habis begadang nonton timnas muncul aura emosi beda sedih
"TOTAL FOOTBALL BELANDA GA PERNAH JUARA PIALA DUNIA, TAPI ITALIA DENGAN GAYA BERTAHAN BISA JUARA PIALA DUNIA. INGAT😅",total football belanda juara piala dunia italia gaya tahan juara piala dunia
"sty itu bukan hanya sekedar pelatih yg melatih para pemain , tapi ibarat guru dan motivator bahkan ikut menjiwai timnas indonesia ,lihat aja waktu kalah dalam pertandingan kualifikasi olimipiade 2024 kemarin , sty sampai marah marah bahkan dikasih kartu merah karena wasitnya berat sebelah",sty dar pelatih latih pemain guru motivator jiwa timnas indonesia lihat kalah tanding kualifikasi olimipiade kemarin sty marah marah kasih kartu merah wasit berat belah
berani mengambil keputusan harus berani bertanggung jawab,berani ambil putus berani tanggung
terima kasih telah mewakili suara pecinta timnas yg waras bang ❤,terima kasih wakil suara cinta timnas waras bang
Gua inget kata Jay di akhir podcast tom Haye walaupun besok kita kalah sama Irak n ga masuk pildun kita masih bisa tatap mata saling tegur sapa itulah supporter Indonesia ❤ dan gua akan terus nonton Jay di liga Itali verdonk di liga Prancis diks di Jerman dan semuanya terimakasih sudah berjuang bisa membawa Indonesia sejauh ini yg menunggu bertahun tahun n memulai dari nol terimakasih Jay El Capitano Indonesia bangga punya Jay n semua pahlawan timnas Indonesia ❤,inget jay podcast tom haye besok kalah irak masuk pildun tatap mata tegur sapa supporter indonesia nonton jay liga itali verdonk liga prancis diks jerman terimakasih juang bawa indonesia tunggu tahun nol terimakasih jay el capitano indonesia bangga jay pahlawan timnas indonesia
"ini yang kita rasakan, akhirnya ada yang menyuarakan",rasa suara
"Keputusan sembrono yang pernah dilakukan di intermilan dan diterapkan kembali di timnas sekarang dengan hasil yang tak jauh beda, terimakasih buat pak ketum yang telah membuka kembali luka lama 2010 dengan luka yang lebih besar, terimakasih juga telah membawa pelatih terbaik dunia dengan cv yang lebih buruk dari pelatih sebelumnya, berkat jasamu juga yang telah memutar dadu yang seharusnya tidak perlu diputar kembali ditengah perjuangan",putus sembrono intermilan terap timnas hasil beda terimakasih tum buka luka luka terimakasih bawa pelatih baik dunia cv buruk pelatih berkat jasa putar dadu putar tengah juang
Erick Tohir mundur ! Kluivert pecat tidak hormat. STY kembali jadi pelatih senior dan u23.,erick tohir mundur kluivert pecat hormat sty pelatih senior
"pointnya itu , rakyat gaada kepentingan apa apa , cuma pengen bahagia aja di negri ini . tp sesulit itu",point rakyat gaada penting ken bahagia negri sulit
Dari semua pelatih hanya STY yang peduli membangun Pondasi dari usia muda timnas Indonesia.. Yang kita butuhkan yang seperti ini..karena timnas kita perlu menjaga penerus2 yang akan menggantikan para seniornya..,pelatih sty peduli bangun pondasi usia muda timnas indonesia butuh inikarena timnas jaga terus ganti senior
"kekalahan itu wajat gak sih , pasti selalu ada harapan untuk mendaoatkan kemenangan , contoih di 🅱🆄🅺🅸🆃4🅳 selalu di beri kemenangan , tanpa kendala😮",kalah wajat harap mendaoatkan menang contoih menang kendala
"Selesai sudah perjuadian et dan pssi, sekian dan terima kasih",selesai perjuadian et pssi sekian terima kasih
Sekelas roberto mancini aja didepak gara2 gak perform ngelatih arab ini PK pelatih antah berantah gk ada konsep yg jelas masih bertahan.,kelas roberto mancini depak gara perform ngelatih arab pk pelatih antah antah konsep tahan
"Dari sumpah sampai propaganda, Dari nadi rakyat sampai sandiwara, Kami hidup di naskah yang sama, Berganti aktor, tapi lakonnya serupa!",sumpah propaganda nadi rakyat sandiwara hidup naskah ganti aktor lakon
Jgn pernah menghujat pemain. Tapi HUJATlah PSSI & Pelatih. #EriktohirOUT #patrickkluivertOUT,jgn hujat pemain hujat pssi pelatih eriktohirout patrickkluivertout
"​ @NuhMaedaZahraMadinna ya setuju kalau pemain sudah berjuang, yg salah pelatihnya aja abal abal",ya tuju pemain juang salah latih abal abal
"​ @NuhMaedaZahraMadinna setuju. Ditangan yang tepat (STY) ketika diaspora tdk sebanyak dan semewah sekarang, menunjukan permainan yang bagus dan menjanjikan. Yang membuka kran pra pemain Eropa melirik Indonesia dan mau pindah kewarganegaraan, ialah STY karena visi misi dan perkembangan Timnas nya",tuju tang sty diaspora mewah tunjuk main bagus janji buka kran pra pemain eropa lirik indonesia pindah kewarganegaraan sty visi misi kembang timnas
