komentar,komentar_bersih
"Erik Tohir harus buktikan omongannya, mundur dari PSSI.",erik tohir bukti omong mundur pssi
Tidak usa nangis,usa nang
Asik menang judi ucap pk 😂😂😂😂,asik menang judi pk
Angkat koper mu petrik jdi pelatih timnas Garuda,angkat koper mu trik pelatih timnas garuda
"Reformasi mental,,, yang jujur,,, sty d ganti,, olah raga sportipitas,, kengurusan ya harus sportip",reformasi mental jujur sty ganti olah raga sportipitas kengurusan ya sportip
Patrick Kluivert menang banyak 😅😅😅,patrick kluivert menang
"Akhir nya jadi begini nih hancur lebur gara"" kuliver",hancur lebur gara liver
Sakit,sakit
Terimalasih STY,terimalasih sty
Jangan bersedih. Persiapkan dari saat ini untuk Pildun 4 tahun mendatang. Cari bakat terbaru baik Lokal.maupun naturalisasi tambahan. Semoga.Puldun 2030 Indonesia masuk sebagai peserta nya. Semoga kita.maaih awhat dna oanjang umur untuk menyaksikan anak2 muda main di piala Dunia.2030 nya😂,sedih siap pildun cari bakat baru lokalmaupun naturalisasi tambah semogapuldun indonesia masuk serta moga kitamaaih awhat dna oanjang umur saksi anak muda main piala dunia
"Gagal maning,.",gagal maning
Ya sudah.. ga usah salahin mereka. Setidaknya udah berjuang. Fokus pembenahan sepak bola.,ya salahin udah juang fokus benah sepak bola
Pembawa acara dan komentator kalau mengulas jalan nya pertandingan harus bersikap obyektif dan jangan provokatif.,bawa acara komentator ulas jalan tanding sikap obyektif provokatif
Coba line up Indonesia pas lawan Arab Saudi kayak lawan Irak pasti lain ceritax,coba line up indonesia lawan arab saudi lawan irak ceritax
"Dari pergantian sty ke pk harapan hanya tinggal mimpi, jaman sty mimpi di ubah menjadi harapan",ganti sty pk harap tinggal mimpi jaman sty mimpi ubah harap
Si Petrik ikutan nangis untuk menarik simpati agar tidak disalahkan netizen se-Indonesia XD,si trik ikut nang tarik simpati salah netizen indonesia xd
2 pertandingan dlm 5 hari..itu tidak adil,tanding hariitu adil
"Kalau sepak bola sudah bercampur dengan politik uang, dan tidak ada strategi yg mempuni untuk kemenangan dan memperbaiki mental pemain yg kuat..dan begini hasil nya.",sepak bola campur politik uang strategi pun menang baik mental pemain kuatdan hasil
"Ada sebuah kata"" yg pas nih. Jangan terlalu tinggi,nanti pas jatoh sakit. Sekelas japan mau tampil kepildun aja puluhan tahun baru bisa.lah ini baru 5 thn mau kepildun. Tapi selama 5 thn ini progresnya udah bagus untuk timnas ya.kalau liga masih belom.",tingginanti jatoh sakit kelas japan tampil kepildun puluh bisa thn kepildun thn progres udah bagus timnas yakalau liga bom
"Timnas kedepannya harus benar 2 jago kaya jepang, soalnya mafia sepakbola Asia susah dikalahkan. Dan pelatih nya kalau ada asli putra Indonesia.",timnas depan jago kaya jepang mafia sepakbola asia susah kalah pelatih asli putra indonesia
TERDENGAR GELEGAR TAWA TOWEL DARI KEJAUHAN,dengar gelegar tawa towel jauh
"Seperti biasa,..yang kalah sibuk menjelaskan.",biasayang kalah sibuk
"Meskipun gagal lolos piala dunia, FAKTANYA adalah PSSI dg ketum erik tohir serta pemain² timnas secara keseluruhan masih jauh lbh baik dari era sebelum²nya, sudah berproses dg usaha maximal dg bertujuan mndapatkan hasil yg lbh baik. Jadi harus tetap selalu mendukung dg dukungan positif baik disaat menang maupun kalah, hanya org² yg over dosis SDM rendah parah yg sllu mencaci maki & tebar keburukan tapi berharap hasil kebaikan instan.",gagal lolos piala dunia fakta pssi dg tum erik tohir pemain timnas lbh era proses dg usaha maximal dg tuju mndapatkan hasil lbh dukung dg dukung positif saat menang kalah orang over dosis sdm rendah parah sllu caci maki tebar keburu harap hasil baik instan
"Hampir ditiap pertandingan timnas kita selalu melawan 12 pemain dilapangan,entah mengapa ktimnas kita selalu jadi korban ketdk adilan wasit.",tiap tanding timnas lawan pemain dilapanganentah ktimnas korban ketdk adil wasit
Harus nya Sty di gandengin sm Pastoor cocok,sty gandengin pastoor cocok
“Eksperimen Mahal PSSI: Saat Erick Salah Merekrut Patrick Kluivert Minim Pengalaman Melatih”,eksperimen mahal pssi erick salah rekrut patrick kluivert minim alam latih
"kasian banget untuk mereka , aturan indonesia secara itung2an bisa lolos. Tapi karena kesalahan patrick itung2an itu jadi beban buat para pemain.",kasi atur indonesia itung an lolos salah patrick itung an beban pemain
"Udah gak usaha nangis,target kalian dr awal emng bukan sampe lolos kok.cuma harapan bangsa aja klo bisa lolos.udah mulai berkembang permainan,kita sudah sering kecewa,tapi cinta rakyat indonesia kepda timnas gak pernh berkurang kok ,tiket selalu habis terjual.",udah usaha nangistarget emng sampe lolos kokcuma harap bangsa lolosudah kembang permainankita kecewatapi cinta rakyat indonesia kepda timnas pernh kurang tiket habis jual
"Bukan salah pelatihnya..indo harus sabar 20 THN lagi, supaya bisa masuk piala Dunia... PSSI Prettt...",salah pelatihnyaindo sabar thn masuk piala dunia pssi prettt
"Walaupun kalah timnas kita sdh selevel dgn peringkat FIFA 50 an dunia, hanya kalah tipis ...",kalah timnas sdh level peringkat fifa an dunia kalah tipis
