komentar,komentar_bersih
Kl belum di ganti. Bisa saja di Round 3 INDONESIA SUDAH LOLOS krn bisa Kalahkan Australia,ganti round indonesia lolos kalah australia
Mklum negara kaya ya buang2 anggaran 😂😂,mklum negara kaya ya buang anggar
"Kata coach coachan futsal ""pelatih miskin taktik""😂😂 lebih variatif sty kemana mana😂😂😂😂😂😂",coach coachan futsal pelatih miskin taktik variatif sty mana
bener,bener
"Seandainya STY masih pelatih timnas tdk akan hancur seperti sekarang, sedih marah kesal kecewa , nasip???? nasip....!!!! 🤣🤣🤣 timnas kembali lg ke setelan pabrik",anda sty pelatih timnas hancur sedih marah kesal kecewa nasip nasip timnas lg setel pabrik
ivan kolev sii kalo gw,ivan kolev sii kalo
Iya kalok dari awal udah tau mau gagal,iya kalok udah gagal
Sty ae blom pasti lolos round 4,sty ae blom lolos round
Sama yang saya pikir kan,pikir
yups,yups
"Karna target PSSI ke sty juga bukan lolos pildun sekarang,,, harusnya sty tetap melatih timnas",target pssi sty lolos pildun sty latih timnas
Towel kemana??? Diam?,towel mana diam
"Alasan bolanya apa,coba kasih paham",alas bola apacoba kasih paham
#ErickTohirOut #PatrickKlulivertOut Ganti Towel 😂😂😂😂😂😂,ericktohirout patrickklulivertout ganti towel
"Segitunya Bro 😂 Warga konoha, kagak politik, kagak sepakbola selalu cinta buta sama junjungannya 🤦‍♂️",segitunya warga konoha kagak politik kagak sepakbola cinta buta junjung
Nah cakep nih komen.. Karena STY sudah membangun pondasi dari awal.. Jadi kalau pun gagal ada usaha kerasnya,cakep komen sty bangun pondasi gagal usaha keras
Sangat se7 dari pada pelatihan ini yang katanya total football tapi pada kenyataannya total gagal 😂😂,latih total football nyata total gagal
Ingat statment😂 strategi yang disepakati pemain😂😂😂 ini kesepakatan nya??? Kayaknya tidak deh,statment strategi pakat pemain sepakat kayak
When Last Child Said ; Setidaknya diriku pernah berjuang . . . . .,when last child said diri juang
"iya itu pilihan lo, ga sama kyk erick gendut.",iya pilih kyk erick gendut
SETUJU SEKALI..,tuju
Setuju banget kawan,tuju kawan
"yg sudah ya sudah... mo bilang apa lagi... kita hanya penikmat, pendukung, timnas... masih ada kesempatan lagi ke depan.. piala Asia dan Agenda lain nya... semua sudah berjuang... dengan dukungan Pemerintah dan Suporter...diluar teknis dan non teknis... AFC nya aja udah bisa dibuat berat sebelah...",ya mo bilang nikmat dukung timnas sempat piala asia agenda juang dukung perintah suporterdiluar teknis non teknis afc udah berat belah
Saya pakai zindane 😊,pakai zindane
Sama ... berasa lebih punya harga diri.. drpada gini jadinya downgrade permainannya,asa harga drpada gin downgrade main
Lu tau gk kenapa kita waktu itu klaah pas sama shin tae yong. Karna yg di pilih pemain naturalisasi semua. Coba byakin pemain lokal. Di jamin lu mayan menang,klaah shin tae yong pilih pemain naturalisasi coba byakin pemain lokal jamin mayan menang
Setuju',tuju
saya ndk mau gagal dua duanya sih wkwkwkwk,ndk gagal dua wkwkwkwk
Tapi ketumnya kan sama² Erick Tohir.😂😂😂,tum erick tohir
"@tukangkayu9922 emang sebelum masa kepemimpinan ET pernah ta kita ngebayangin juara 4 piala asia sama bisa ke kualifikasi Pildun, AFF aja syulit",emang pimpin et ta ngebayangin juara piala asia kualifikasi pildun aff syulit
"Yap... Salah pelatih, pemain pemain bagus, taktik nya yg jelek",yap salah pelatih pemain pemain bagus taktik jelek
Aslinya sadar kemampuan timnas ini cuma sampe dimana...cuma bergantung sosok saja...🤭🤭,asli sadar mampu timnas sampe dimanacuma gantung sosok
"Logika macam apa ini ,gagal is gagal ....silahkan hidup dimasa lalu",logika gagal is gagal silah hidup masa
Anda ini fans kardus,fans kardus
"apa yang sudah dimulai oleh dan bersama STY, bukankah memang sudah sepantasnya diakhiri dengan beliau?",sty beliau
alibi towell....skrg timnas lebih entartain.... wwkwkwkwk... mourinho engga peduli game... yg penting hasil... taktik lbh dominan....bilang tuh ke towell,alibi towellskrg timnas entartain wwkwkwkwk mourinho engga peduli game hasil taktik lbh dominanbilang tuh towell
"​ @Traderxpired Dan faktanya permaian di bawah pelatih PK juga gak menarik dan gak berbobot, malah cenderung monoton, bingung.",fakta permai pelatih pk tarik bobot cenderung monoton bingung
yap lebih iklas gagal bersama sty toh dia yang bangun jadi lebih baik,yap iklas gagal sty bangun
Wkwk sty 6 laga 6 point,sty laga point
"​ @natachannel9112 Tapi lawan Arab menang 1x, seri 1x. Kalau sekarang ketemu lagi dengan Arab harusnya secara statistik Indonesia menang, minimal seri.",lawan arab menang seri ketemu arab statistik indonesia menang minimal seri
Kebanyakan masyarakat ekspektasi terlalu tinggi dan w dah curiga dari awal kualifikasi round indo ga bakal lolos,banyak masyarakat ekspektasi dah curiga kualifikasi round indo lolos
"gua gak milih harus gagal sama siapa, yang gua mau berhasil lolos ke piala dunia..",milih gagal hasil lolos piala dunia
Jika sty gagal gak rindu sama luis milla ????,sty gagal rindu luis milla
Udah kliqtan sejak di pegang platih baruh paling gampang kebobolan,udah kliqtan pegang platih baruh gampang bobol
Udah jelas punya pelatih bagus masih gak puas mending kan kalo ganti ya datangi platih bagus sekalian yg punya nama besar,udah pelatih bagus puas mending kalo ganti ya datang platih bagus nama
"STY baru dipecat juga,jadi sama"" gatot,gagal total😂",sty pecat jugajadi gatotgagal total
Hah? Gimana konsepnya. Gagal kok milih,hah gimana konsep gagal milih
Anggap saja ini kegagalan timnas hindia belanda..,anggap gagal timnas hindia belanda
"Suarakan bang sampai k telinga s toher,dan s kumprit,,harus mundur,,,",suara bang telinga toherdan kumpritharus mundur
Daripada pake yakob😂😂😂😂,pake yakob
