komentar,komentar_bersih
Gua jujur suka banget main semalam. Walaupun kalah tapi main kita bagus banget... gak papa kalah penting ada permainan bagus . Kalau sudah main bagus kalah jg itu soal lain... pemain seperti semalam ini harus tetap pemain inti jangan di otak atik lg,jujur suka main malam kalah main bagus papa kalah main bagus main bagus kalah jg pemain malam pemain inti otak atik lg
Bangga memakai Pelatih kelas dunia yang paling Jenius saat ini,bangga pakai pelatih kelas dunia jenius
"Sebuah prestasi bisa sampai round 4,kita satu satunya di asia tenggara",prestasi round satu asia tenggara
Kalian sudah berjuang sampai titik darah penghabisan. Kami tetap mendukungmu.,juang titik darah habis dukung
"Sudah berusaha dan berjuang walaupun blm berhasil ,Masih ada Piala,Asia dan harus dipersiapkan dengan serius",usaha juang blm hasil pialaasia siap serius
"Tim bermain baik dan maksimal, namun kita tetap kalah harus diterima ..",tim main maksimal kalah terima
"Mainnya kita sangat bagus, sudah mirip dengan mainnya Irak khusus babak pertama, seperti tim ranking 50 an, tapi peluang banyak yang tidak jadi gol",main bagus main irak khusus babak tim ranking an peluang gol
Bedankt Meneer Semoga kegagalan kali ini menjadi yg terakhir 2030 kita harus berhasil lolos World CUP,bedankt meneer moga gagal kali hasil lolos world cup
Hebat pa erik😂,hebat pa erik
SABAR BANG JAY KETIDAK ADILAN PASTI KENA AZAB DARI YG MAHA KUASA ALLAH SUBHANAHU WATAALLA,sabar bang jay tidak adil kena azab maha kuasa allah subhanahu wataalla
Patrick Kluivert pandai bersandiwara,patrick kluivert pandai sandiwara
Pergantian pelatih yang menghancurkan semua,ganti pelatih hancur
Masuk ronde 4 aja uuh rasanya dh dag dig dug apalagi masuk pildun 2026 .. Tp ya sudahlh. Terima kasih timnas garuda ❤,masuk ronde uuh dh dag dig dug masuk pildun ya sudahlh terima kasih timnas garuda
Terimakasih Erick Tohir mimpi anak indonesia telah kamu pupus.,terimakasih erick tohir mimpi anak indonesia pupus
"Menangis campur amarah yang gak bisa di luapkan, sebagai pendukung TIMNAS",menang campur amarah luap dukung timnas
Kalian tidak berhenti sampai disini wahai timnasku...tapi PK harus berhenti sampai disini menurutku...kami sllu menunggu untuk qualifikasi berikutnya dan sebelum menutup mata saya ingin melihat timnasku masuk dipildun..aamiinn.,henti timnaskutapi pk henti menurutkukami sllu tunggu qualifikasi tutup mata timnasku masuk dipildunaamiinn
Game over,game over
respact tegakkan kepala kalian Tim pemain sudah berusaha keras. Biarkan federasi dan pelatih yg bertanggung jawab,respact tegak kepala tim pemain usaha keras biar federasi pelatih tanggung
Pemain pelatih udah bagus,pemain pelatih udah bagus
"Gol irak memang murni kehebatan individu pemain irak, bukan sepenuhnya kesalahan pemain belakang.",gol irak murni hebat individu pemain irak sepenuh salah pemain
Sebagai Fans Kita hanya bisa memberikan support bayangkan pemain seperti Tom Kevin yg usia mereka tidak.mudah Lagi Ini Mungkin jadi akhir sudah berkorban pinda negara tapi Gagal respek buat pemain timnas,fans support bayang pemain tom kevin usia tidakmudah korban pinda negara gagal respek pemain timnas
Aku rindu st,rindu st
Inilah akibat tidak melakukan background check dan track record sebelum memilih pelatih kepala,akibat background check track record pilih pelatih kepala
Kembalikan Sty,kembali sty
Hore hore,hore hore
Sedih ya allah,sedih ya allah
Hanya sintayong yg bisa bawa Garuda terbang tinggi,sintayong bawa garuda terbang
Kami tetap mendukungmu garuda ku,dukung garuda ku
Selamat kpd erik dan towel,selamat kpd erik towel
Kalah menang itu biasa. Yang penting tidak cedera. Biar main lagi ke club' bagus,kalah menang cedera biar main club bagus
"Kecewa sih iya, tapi masih ada kesempatan kedepannya. Semangat terus dan belajar dari kekalahan untuk lebih baik kedepannya. Bravo Garuda.",kecewa iya sempat depan semangat ajar kalah depan bravo garuda
Bravo patrick kulivert..bravo erick tohir..😢😢😢,bravo patrick kulivertbravo erick tohir
"Berat perjuangan melawan lawan dan kecurangan AFC and FIFA, sejak awal kita telah dicurangi AFC dan FIFA pilih tempat tidak netral☝️☝️☝️",berat juang lawan lawan curang afc and fifa curang afc fifa pilih netral
"Kluivert out,,, pecat atau mundur. Pemain timnas Terima kasih perjuangan nya, saya bangga pada kalian",kluivert out pecat mundur pemain timnas terima kasih juang bangga
Terimakasih para petinggi PSSI..sudah mengganti pelatih Sty Selamat buat tim yg lolos ke pildun 2026,terimakasih petinggi pssisudah ganti pelatih sty selamat tim lolos pildun
