komentar,komentar_bersih
"Sulit move on genks.. 😢 Kalo klub kalah udah biasa, kali ini berbeda, ini timnas indonesia.",sulit move on genks kalo klub kalah udah kali beda timnas indonesia
Terima kasih atas perjuangannya selama 3 tahun🥹 tetap tegakkan kepala kami tetap bangga dengan kalian semua cinta ini takkan pernah padam untukmu Garuda walaupun gagal untuk sekian kalinya🥹🇮🇩,terima kasih juang tegak kepala bangga cinta tak padam untuk garuda gagal sekian kali
Zidan iqba dgn satu tendangan nya sdah cukup mengubur mimpi timnas dan melukai seluruh rakyat Indonesia yg sgt mengharapkan bs tampil di pildun 2026😢,zidan iqba tendang sdah kubur mimpi timnas luka rakyat indonesia sgt harap bs tampil pildun
Goodbye piala dunia 2026 dan halo piala dunia 2030 kami menunggumu,goodbye piala dunia halo piala dunia tunggu
"Biasa, media overrated 😂",media overrated
Media penggorengan,media goreng
"coba bandingin game play timnas jaman sty sama timnas sebelum sty kebawah... permainan sangat jauh berkembang, jadi wajar ekspektasi penonton juga ikut tinggi..",coba bandingin game play timnas jaman sty timnas sty bawah main kembang wajar ekspektasi tonton
"Di lebih lebihkan, padahal dari segi permainan indonesia emang gak pantes lolos piala dunia😂",lebih segi main indonesia emang pantes lolos piala dunia
​ @ikadekwiguna2725 iya itu tau modal pemain diaspora kalo pelatihnya macam bintang laut mana bakal lolos,iya modal pemain diaspora kalo latih bintang laut lolos
"Lah knp nyalahin media SE kocak lo, pemiliknya juga orng Indo ya maklum lah mereka menggambar-gemborkan timnas toh emang kenyataanya timas di moment itu lagi bagus2nya sejak negara ini berdiri, kapan lagi kan menyemangati & ikut berpartisipasi di timnas Indo & kapan lagi klo gak sekarang ?",nyalahin media kocak milik orng indo ya maklum menggambargemborkan timnas emang kenyataanya timas moment bagus negara diri semangat partisipasi timnas indo
​ @BajaLah iya tau tapi gausah di gembor-gemborkan lah itu jatuhnya sombong mending sadar diri aj timnas kita ga tembus piala dunia,iya gausah gemborgemborkan jatuh sombong mending sadar aj timnas tembus piala dunia
seraaang!!,seraaang
Tapi masalah timnas Maroko udah jago dari dulu Cuyyy,timnas maroko udah jago cuyyy
Aku kok gak terluka...,luka
Pelatih Irak Graham Arnold memang top dan ber IQ tinggi dapat membaca permainan indonesia..kesalahan besar indonesia mencoret mees hilgers pemain termahal..harusnya pemaiin belakang indonesia itu mees hilgers dan kevin dick..bukan tipe klasik risky ridho dan jay idzes..Lawan jepang kmrn walaupun di hajar malah kelihatan kualitas mees hilgers dan kevin dick..,pelatih irak graham arnold top ber iq baca main indonesiakesalahan indonesia coret mees hilgers pemain termahalharusnya pemaiin indonesia mees hilgers kevin dickbukan tipe klasik risky ridho jay idzeslawan jepang kmrn hajar kualitas mees hilgers kevin dick
"manajemen sama orang orang dibalik PSSI, erick tohir dan si patrick judol sebenernya .",manajemen orang orang balik pssi erick tohir si patrick judol sebenernya
"Saya sebagai fans tetap bangga kepada para pemain Timnas Indonesia, karena mereka telah berjuang dari awal sampai akhir di ronde keempat. Meskipun kita semua harus mau mengakui bahwa pemilihan pemain di laga melawan Timnas Arab Saudi di ronde keempat itu cukup mengecewakan, bukan berarti mereka yang dipasang tidak layak hanya saja sebagian pemain lebih bagus dipasang sebagai pemain pengganti dan bukan malah diturunkan sejak awal pertandingan. Disisi lain fans Timnas Indonesia tidak ingin saling menyalahkan, karena yang diinginkan para fans hanyalah sebuah pertanggungjawaban entah itu dari pihak federasi atau pihak pelatih utama. Berharap setelah ini pihak federasi sadar akan kesalahan mereka tanpa harus terus-terusan dihujat. Itulah sedikit curhat seorang fans Timnas Indonesia dan terima kasih kalian sudah berjuang sejauh ini para punggawa timnas garuda. Kami tetap bangga dan Forza Garuda.",fans bangga pemain timnas indonesia juang ronde empat aku pilih pemain laga lawan timnas arab saudi ronde empat kecewa pasang layak pemain bagus pasang pemain ganti turun tanding sisi fans timnas indonesia salah fans pertanggungjawaban federasi pelatih utama harap federasi sadar salah terusterusan hujat curhat fans timnas indonesia terima kasih juang punggawa timnas garuda bangga forza garuda
MISI SUKSES,misi sukses
WC Tahun 2026 adalah kesempatan terakhir Haye Itulah sebabnya Haye nangis paling kenceng,wc sempat haye haye nang kenceng
SUDAH JGAN KEGEDEAN MIMPI...,jgan gede mimpi
Tetap semangat biarpun ga lolos..tetap bangga sebagai bangsa Indonesia,semangat biarpun lolostetap bangga bangsa indonesia
"Makanya jangan terlalu sombong media Indonesia, ketika baru menang satu kli, sudah merasa, di atas angin, dn inilah balasan tuhan utk kita semua, yg terlalu sombong. Saat masih dlm proses perjuangan, dn sekarang kita smua malu sendiri dari hasil kesombongan kita..!",sombong media indonesia menang kli angin dn balas tuhan sombong proses juang dn smua malu hasil sombong
Bnar min,bnar
Terima kasih.. 👏🏻👏🏻 Bangkit.. Bangkit.. Bangkit.............,terima kasih bangkit bangkit bangkit
Keren Min Chanel ini Bijak sekali✌👍👍 Chanel lain Semua menyalahkan PK sebagai Nahkoda,keren chanel bijak chanel salah pk nahkoda
tetap bersatu,satu
"terima kasih untuk pemain, pelatih, staf dan pengurus PSSI, membawa timnas sudah sejauh ini. belum rejeki kita main di piala dunia 2026, rejeki kita masih sebatas nonton piala dunia 2026 di TVRI. makasih TVRI.",terima kasih pemain pelatih staf urus pssi bawa timnas rejeki main piala dunia rejeki batas nonton piala dunia tvri makasih tvri
Nyesekk di hati,nyesekk hati
PSSI pada ngumpet😀,pssi ngumpet
Dach hebat sampai di babak ini...dach lompat jauh..,dach hebat babak inidach lompat
ayoooo.... demo PSSI,ayoooo demo pssi
"dengan titik ini, Indonesia wajib masuk FWC 2030 sih.",titik indonesia wajib masuk fwc
"Indonesian sudah membuktikannya, juara liga Dangdut dilatih oleh orang lokal...",indonesian bukti juara liga dangdut latih orang lokal
Kembaliakan sty,kembaliakan sty
PK:cuan ane cair cair...😂,pkcuan ane cair cair
"Ada gak rasa terimakasih kalian ke rakyat Indonesia yg sdh setia mendukung dari segala drama yg dibuat oleh Federasi(PSSI) selama ini, intinya kalau sepakbola sdh bercampur dengan aroma politik inilah salah satu hasilnya..sampai saking serinnya dikibulin rakyat Indonesia masih tetap setia bersama Timnas Indonesia..",terimakasih rakyat indonesia sdh setia dukung drama federasipssi inti sepakbola sdh campur aroma politik salah hasilnyasampai saking serinnya dikibulin rakyat indonesia setia timnas indonesia
"Kesalahan terbesar timnas Indonesia: memecat STY, memilih pelatih non pengalaman, dll 🤔🤔🤔 sampe kiamat pun sepakbola Indonesia g akan maju 🤔🤔🤔",salah besar timnas indonesia pecat sty pilih pelatih non alam dll sampe kiamat sepakbola indonesia maju
seharusnya kita bersyukur kepada pak marji,syukur marji
Gagal itu adalah takdir 🗿,gagal takdir
PSSI wajib evaluasi timnas wajib lolos di round 3 di Kualifikasi piala dunia 2030 nanti,pssi wajib evaluasi timnas wajib lolos round kualifikasi piala dunia
Jujur gw nungguin video ini tapi juga ngga siap untuk menontonya,jujur nungguin video ngga menontonya
Saya berharap 2030 nanti indonesia masuk ke piala dunia dengan keadaan Kevin diks verdonk atau yg lainnya sudah ada pemain timnas yg sudah masuk club club besar papan atas,harap indonesia masuk piala dunia kevin diks verdonk pemain timnas masuk club club papan
"Di ganti bukanya tambah baik justrus jadi rusak, itu lah kekecewaan kita semua. .",ganti buka justrus rusak kecewa
"Apapun hasilnya, garuda tetap didadaku slamanya❤ kalian pahlawan2 hebat, masuk round 4 aja dah sangat wah bagi Indonesia, 1 1 nya negara ASEAN yg bs lolos sampe round 4❤ nanti kita benahi lgi mulai di Piala Asia❤",apa hasil garuda dada slamanya pahlawan hebat masuk round dah indonesia negara asean bs lolos sampe round benah lgi piala asia
Bambang Pamungkas cocok untuk melatih timnas Indonesia senior karena sifatnya yang tegas dan mudah dipahami taktik naluri golnya,bambang pamungkas cocok latih timnas indonesia senior sifat mudah paham taktik naluri gol
Kenang prankkk,kenang prankkk
