komentar,komentar_bersih
"1 pelatih digantikan dg 3 pelatih, ini adalah kepelatihan terbaik. Preet",pelatih ganti dg pelatih latih baik preet
Minimal diganti pelatih itu yang berkualitas..lah ini ngambil pelatih kok yang CV nya ngampas wkkwwk...gk habis pikir si et kenapa ngambil si pk...tau gitu sty aja masih dipertahanin,minimal ganti pelatih kualitas ngambil pelatih cv ngampas wkkwwkgk habis pikir si et ngambil si pktau gitu sty dipertahanin
Kata coach ex futsal😂😂 jangan hanya pknya ada asistennya wkwkwkw asuh lah,coach ex futsal pknya asisten wkwkwkw asuh
"Jangan, ini pelatihan terbaik yg pernah dimiliki Indonesia 😂😂😂",latih baik milik indonesia
Erick lah sapa lagi,erick sapa
Kecuali mark klok ya 🥰,kecuali mark klok ya
"dan rela tinggal di Indonesia jauh dari keluarganya, beda sama Patrick yg malah gamau stay di Indonesia",rela tinggal indonesia keluarga beda patrick gamau stay indonesia
Gajinya belum di bayar lunas dan ga boleh speak up di ancam dia .,gaji bayar lunas speak up ancam
"Lupa kah? Jadi mentri bumn bukannya beresin bumn yg jadi beban negara selalu bilang rugi,malah kaya gak ada pergerakan sama sekali Dia malah lebih aktif di pssi Pas kasus korupsi pertamina kebongkar aja, dia malah gak mundur? Malah santai dan dapet jabatan baru? Menpora😂 enak bener ni org ya😂 Pantes aja negara kita gini terus, asal punya koneksi ama pemimpin negara mah bebas​ @brainvoltz",lupa kah tri bumn resin bumn beban negara bilang rugimalah kaya gera aktif pssi korupsi pertamina bongkar mundur santai dapet jabat menpora enak bener ni orang ya pantes negara gin koneksi ama pimpin negara mah bebas
"emang pengen punya legacy sendiri..bagaimanapun STY warisan kepemimpinan Irwan bule, ET pengen punya legacy sendiri...pecat semuanya...no more total football...sampai akhir R4 cm 6 poin...",emang ken legacy sendiribagaimanapun sty waris pimpin irwan bule et ken legacy sendiripecat semuanyano more total footballsampai cm poin
