komentar,komentar_bersih
Salut buat pemain timnas Indonesia luar biasa permainannya kalau saja lawan Arab Saudi Kita tidak kecewa walau kalah 🎉,salut pemain timnas indonesia main lawan arab saudi kecewa kalah
Selamat buat towel dan lo,selamat towel
​@wigand5964kok ngamuk mas,ngamuk mas
Sok tau kamu,sok
"kenapa kok bisa ada opini kyk kamu. PM Belanda minta maaf lho, atas tidak sukses nya Indonesia lolos ke Pildun 😅, pdhl dia bukan termasuk circle sepakbola",opini kyk pm belanda maaf lho sukses indonesia lolos pildun pdhl circle sepakbola
Kok katanya si .emng negara besar masih bilang katanya,si emng negara bilang
TERBAIK dalm melakukan kesalahan😅😅,baik dalm salah
"Kalo gak ada naturalisasi belanda, gak mungkin kita sejauh ini",kalo naturalisasi belanda
Kamu itu fomo banget 😂😂😂😂,fomo
Terhormat dari mana,hormat
Terbaik dalam blundernya mengganti pelatih dipenghujunh jalan,baik blundernya ganti pelatih dipenghujunh jalan
Kalah ya kalah saja..gak perlu embel2 terhormat segala macam .😅😅😅😅,kalah ya kalah sajagak embel hormat
Kata2 Erik Tohir kalah terhormat kalah ma Arab Saudi kalah realistis 😂😂😂 kalah tetap kalah . Cuma satu budaya malu gagal mundur tu blm ada.. seperti di Japanese Korean,erik tohir kalah hormat kalah ma arab saudi kalah realistis kalah kalah budaya malu gagal mundur tu blm japanese korean
Apanya yg kalah terhormat 😂,apa kalah hormat
"​ @garyrebelchannel hormati yg kalah,akui yg menang..hindari omon - omon...",hormat kalahakui menanghindari omon omon
"Hormat grak, balik kanan bubar jalan...",hormat grak kanan bubar jalan
Kalah karena kesalahan sendiri ko kalah terhormat persis van thohir lo 😂😂😂,kalah salah ko kalah hormat persis van thohir
Ksian cuma bs nyetak 2 gol itupun lwat penalti 😂😂😂😂😂😂,ksi bs nyetak gol itu lwat penalti
blm pantas lolos pildun mental blm ada main msih kek tarkam gitu kalau pun lolos pildun paling di obok2 di fase grub sama tim2 negara eropa dan amerika latin,blm lolos pildun mental blm main msih tarkam gitu lolos pildun obok fase grub tim negara eropa amerika latin
Enak PK..cuma ngurus pildun gagal. STY diurus semua mulai sea games AFF AFC pildun.. kalo STY kaya PK...hanya ngurus pildun..Jaya.. jata...jaya,enak pkcuma ngurus pildun gagal sty urus sea games aff afc pildun kalo sty kaya pkhanya ngurus pildunjaya jatajaya
wkwk coba cek kpn sty menang lawan irak,coba cek kpn sty menang lawan irak
​ @rakhatox kembali ke setelan pabrik😂😂😂 spongebob BS gol cuman pinalti pinalti dan pinalti no kreasi....beda jauh ma sty 😂😂,setel pabrik spongebob bs gol cuman pinalti pinalti pinalti no kreasibeda ma sty
​ @rakhatox yg penting berbau korea saya selalu dukung,bau korea dukung
Jaya 5 tahun nol gelar jaya,jaya nol gelar jaya
AFC musuh timnas 🇲🇨🇲🇨🇲🇨🇲🇨,afc musuh timnas
"Hai Erik Tohir olah raga jangn d bwa"" ke politik..ni hasilnya ..",hai erik tohir olah raga jangn bwa politikni hasil
"Benar itu, malah ambil Kluivert, jadi mulai dari nol lg, kita tidak merendahkan kemampuan Kluivert, tapi proses nya ulang dari awal lagi, itu butuh proses panjang",ambil kluivert nol lg rendah mampu kluivert proses ulang butuh proses
bikin berat kenapa sty tidak menang lawan bahrain cina,bikin berat sty menang lawan bahrain cina
Lah emang sty bukan warga Korea asli,emang sty warga korea asli
​ @nityawae lihat perbedaan semangat orang yg serius melatih dan yg hanya cari uang.,lihat beda semangat orang serius latih cari uang
TKS utk semua pemain TIMNAS kaliian hebat SDH berjuang sampee round 4 ini.,tks pemain timnas kaliian hebat sdh juang sampee round
"gpp kalah,,inikan cuma laga uji coba untuk persiapan piala AFF thn depan...",gpp kalahinikan laga uji coba siap piala aff thn
1000% agree apa yg di sampaikan kapten Jay.. Timnas memiliki banyak pemain berkualitas dan kesempatan berkembang kedepannya terbuka.. insyaallah bisa masuk piala dunia 2030. Sebelum ini semoga Piala Asia 2027 di Arab Saudi timnas Indonesia lebih jauh pencapaiannya dibanding sebelumnya...,agree kapten jay timnas milik pemain kualitas sempat kembang depan buka insyaallah masuk piala dunia moga piala asia arab saudi timnas indonesia capai banding
"Trimakasih. ,udah berjuang,,,,,,",trimakasih udah juang
"Tetap semangat timnas, kalah menang kita tetap dukung. Masih ada kesempatan",semangat timnas kalah menang dukung sempat
Jika gak mau mundur PK rakyat akan ambil tindakan 👍🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,mundur pk rakyat ambil tindak
"GRACIAS,LA NATIONALE...",graciasla nationale
Indonesia tidak pernah punya peluang Open play bagus melawan tim kuat selama di latih patrick. Passing tim ini lebih buruk dari kualitas passing selama STY,indonesia peluang open play bagus lawan tim kuat latih patrick passing tim buruk kualitas passing sty
Don.t cry my garuda..,dont cry my garuda
❤❤❤ i lov full indonesia,lov full indonesia
"KEPUTUSAN GANTI PELATIH DI TENGAH TURNAMEN, KETUM PSSI APA KABARNYA YAA",putus ganti pelatih turnamen tum pssi kabar yaa
Pelati sty SDH bagus diganti,lat sty sdh bagus ganti
Sedih lihat mereka sedih... Namun wajar...karena darah dan hati mereka adalah merah putih yang sesungguhnya Bangga punya mereka menjadi bagjan dari Bangsa Indonesia Untuk semua netizen dan penggemar... terus Bangga dan Bahagja,sedih lihat sedih wajarkarena darah hati merah putih sungguh bangga bagjan bangsa indonesia netizen gemar bangga bahagja
