komentar,komentar_bersih
Peryaterbodah dari ketua pssi,peryaterbodah ketua pssi
"Jngn jngn ujungnya...mlh wrtwan tanah air didiskriminatip, oleh federasi.",jngn jngn ujungnyamlh wrtwan tanah air didiskriminatip federasi
"Yg jd pertanyaannya kan urgensi apa dulu ganti pelatih kalo memang niatnya 2030 ,, bukannya ganti pelatih agar kans indo lolos lebih besar untuk lolos .. kalo memang tak ada niat lolos udah aja jangan diganti dulu pelatihnya agar gak buang buang duit buat bayar pesangon . Aneh memang",tanya urgensi ganti pelatih kalo niat ganti pelatih kans indo lolos lolos kalo niat lolos udah ganti latih buang buang duit bayar sangon aneh
"Mau gonta gnti pelatih top dunia... Gak bkalan lolos pildun indonesia, ..Selagi mafia"" di dlm it msih ada ..breyyyy.)/ cam kan itu.👇👌👍👍",gonta gnti pelatih top dunia bkalan lolos pildun indonesia selagi mafia it msih breyyyy cam
"Ketua PSSI ini jelas ambisius dan munafik, kalau emng tujuan bukan untuk ke piala dunia ngapain untuk mendatangkan pelatih baru, padahal STY msh dlm misinya membangun sepakbola Indonesia.. Padahal sejak di tangani STY ada perubahan dari keterpurukan rangking 187-124",ketua pssi ambisius munafik emng tuju piala dunia ngapain pelatih sty msh misi bangun sepakbola indonesia tangan sty ubah puruk rangking
ET mentalnya udah tercemar mafia..,et mental udah cemar mafia
semua atlet bermimpi bermain di panggung tertinggi.. saya mantan atlet. kalo turun turnament target nya juara.. klo tidak juara sudah memberikan yg terbaik.. bukan turun tanpa ambisi..,atlet mimpi main panggung tinggi mantan atlet kalo turun turnament target juara juara baik turun ambisi
"Kbnykn yg komen ,cuma lihat judul judul yg ngk paham proses SPK bola indonesia",kbnykn komen lihat judul judul ngk paham proses spk bola indonesia
Nyimak ulsn perjalanan timnas indonesia dr b,nyimak ulsn jalan timnas indonesia
Timnas indo gatot,timnas indo gatot
BUMN waja merugi,bumn waja rugi
"​ @sichannel6265 anda kayak netizen Malaysia, bahas bola tapi out konteks",netizen malaysia bahas bola out konteks
Kita harus sadar diri bos timnas kita peringkat 119 dunia dan peringkat 20 asia,sadar bos timnas peringkat dunia peringkat asia
ETJadi mentri blunder ketua PSSI juga sama 😅 udah ga usah mengharap sama termul 😅😅,etjadi tri blunder ketua pssi udah harap termul
Ngeles aluuuus ituu si tohir.. Seakan akan lepas tangan,ngeles aluuuus ituu si tohir akan lepas tangan
Waduh parah berarti ini para konten kreator. Nganggu konsentrasi pemain . harusnya pokus istirahat fokus latihan dan sebagainya. Udah tau masih dalam pertandingan. Hanya STY yang mengerti Arti disiplin.sesuai kata Abah Gusdur yang hanya bisa lolos kepildun kalau pemain sudah bisa disiplin Tinggi.,parah konten kreator nganggu konsentrasi pemain pokus istirahat fokus latih udah tanding sty erti arti disiplinsesuai abah gusdur lolos kepildun pemain disiplin
Emang kalian lebih baik dari Erik Tohir?????,emang erik tohir
Tidak pantas jadi pemimpin .,pimpin
