komentar,komentar_bersih
Yg gua lihat kok bisa permainannya ga jalan cuman duduk doang ga ada ganti taktik atau strategi bahkan sampai babak ke 2 paling cmn ganti pemain,lihat main jalan cuman duduk doang ganti taktik strategi babak cmn ganti pemain
stamina pemain jg lebih baik waktu sty,stamina pemain jg sty
"belum 1 thn pak,,, setengah tahun lbh dikit,,, bintang laut tidak berotak",thn lbh dikit bintang laut otak
"beda kasus. STY dipecat itu rencana ET dari lama krn dia bukan pilihannya, cuma nunggu momen yg pas aja. Lah ini PK pilihan dia sendiri, mau main buruk juga bisa aja dipertahanin",beda sty pecat rencana et pilih nunggu momen pk pilih main buruk dipertahanin
Tapi bayar harus Sesuai Sisa Kontrak nya Harus di Bayarkan Seperti kepda Sty,bayar sesuai sisa kontrak bayar kepda sty
Dah 5 tahun itu piala CIKI pun TK dpt😂😂😂,dah piala cik tk dpt
"@bagoesati6490 komentar copas strandart buzzer pssi ""5 TAHUN STY GAK DAPAT TROPHY"" kek mesih telepon rusak",komentar copas strandart buzzer pssi sty trophy mesih telepon rusak
​ @bagoesati6490 Patrick udah dikasih pemain lengkap depan bagus ternyata bapuk ngelatihnya,patrick udah kasih pemain lengkap bagus bapuk ngelatihnya
"​ @bagoesati6490 timnas segala kelompok umur lolos piala Asia cuy, 5 tahun sty melatih itu 2,5 tahunnya covid, ga ada event apa²",timnas kelompok umur lolos piala asia sty latih tahun covid event
ERIC=BI5Ni5. PATRICK & VARNBURG OUT!!!!,ericbi ni patrick varnburg out
"Di satu sisi, timnas Curacao mentereng di peringkat 1. Dulu juga hancur lebur dilatih Kluivert",sisi timnas curacao mentereng peringkat hancur lebur latih kluivert
​ @sanadaken777 lagian pelatih buangan timnas curacao di pungut sma ET..,pelatih buang timnas curacao pungut et
Gk hanya PK ET jg,pk et jg
​ @hariono9524 terus siap ibarat nahkodanya timnas Indonesia kalau bukan ET dan PK 😅😅😅😅,nahkoda timnas indonesia et pk
Gak usah dikosongkan jga kosong bang . sekarang mau main apa lagi timnas . piala asia jga msih lama . Piala aff ? 😅,kosong jga kosong bang main timnas piala asia jga msih piala aff
"Pecat ET, AS & PK",pecat et as pk
